Time[ms] CO2[ppm] O2[bar] P[bar] T[C]
388478 380.00 204.90 978.00 28.40
389147 380.00 204.90 978.00 28.40
389814 370.00 204.90 978.00 28.40
390483 380.00 204.90 978.00 28.40
391151 380.00 204.90 978.00 28.40
391819 380.00 204.90 978.00 28.40
392488 380.00 204.90 978.00 28.40
393156 380.00 204.90 978.00 28.40
393824 370.00 204.90 978.00 28.40
394493 380.00 204.90 978.00 28.40
395161 380.00 204.90 978.00 28.40
395829 360.00 204.90 978.00 28.40
396497 340.00 204.90 978.00 28.40
397166 350.00 204.90 978.00 28.40
397834 350.00 204.90 978.00 28.50
398505 340.00 204.90 978.00 28.40
399174 340.00 204.90 978.00 28.40
399841 350.00 204.90 978.00 28.40
400510 360.00 204.90 978.00 28.50
401177 360.00 204.90 978.00 28.50
401845 370.00 204.90 978.00 28.40
402514 370.00 204.90 978.00 28.40
403182 370.00 204.90 978.00 28.40
403850 360.00 204.90 978.00 28.40
404518 370.00 204.90 978.00 28.40
405186 370.00 204.90 978.00 28.40
405854 370.00 204.90 978.00 28.40
406523 370.00 204.90 978.00 28.40
407190 370.00 204.90 978.00 28.40
407858 360.00 204.90 978.00 28.40
408529 360.00 204.90 978.00 28.40
409197 360.00 204.90 978.00 28.40
409865 340.00 204.90 978.00 28.40
410532 340.00 204.90 978.00 28.40
411200 340.00 204.90 978.00 28.40
411868 340.00 204.90 978.00 28.40
412536 340.00 204.90 978.00 28.40
413203 340.00 204.90 978.00 28.40
413871 340.00 204.90 978.00 28.40
414539 340.00 204.90 978.00 28.40
415207 340.00 204.90 978.00 28.40
415875 340.00 204.90 978.00 28.40
416543 340.00 204.90 978.00 28.40
417211 350.00 204.90 978.00 28.40
417879 340.00 204.90 978.00 28.40
418551 330.00 204.90 978.00 28.40
419219 340.00 204.90 978.00 28.40
419887 350.00 204.90 978.00 28.40
420556 360.00 204.90 978.00 28.40
421224 360.00 204.90 978.00 28.40
421892 360.00 204.90 978.00 28.40
422560 360.00 204.90 978.00 28.40
423229 350.00 204.90 978.00 28.40
423897 350.00 204.90 978.00 28.40
424565 350.00 204.90 978.00 28.40
425233 350.00 204.90 978.00 28.40
425901 350.00 204.90 978.00 28.40
426570 360.00 204.90 978.00 28.40
427238 350.00 204.90 978.00 28.40
427906 350.00 204.90 978.00 28.40
428578 350.00 204.90 978.00 28.40
429246 340.00 204.90 978.00 28.40
429914 360.00 204.90 978.00 28.40
